CLAVE,DESCRIP
P000,Feto y recién nacido afectados por trastornos hipertensivos de la madre
P001,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre
P002,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre
P003,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre
P004,Feto y recién nacido afectados por trastornos nutricionales de la madre
P005,Feto y recién nacido afectados por traumatismo de la madre
P006,Feto y recién nacido afectados por procedimiento quirúrgico en la madre
P007,"Feto y recién nacido afectados por otro procedimiento médico en la madre, no clasificado en otra parte"
P008,Feto y recién nacido afectados por otras afecciones maternas
P009,Feto y recién nacido afectados por afección materna no especificada
P010,Feto y recién nacido afectados por incompetencia del cuello uterino
P011,Feto y recién nacido afectados por ruptura prematura de las membranas
P012,Feto y recién nacido afectados por oligohidramnios
P013,Feto y recién nacido afectados por polihidramnios
P014,Feto y recién nacido afectados por embarazo ectópico
P015,Feto y recién nacido afectados por embarazo múltiple
P016,Feto y recién nacido afectados por muerte materna
P017,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto
P018,Feto y recién nacido afectados por otras complicaciones maternas del embarazo
P019,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo
P020,Feto y recién nacido afectados por placenta previa
P021,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios
P022,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas
P023,Feto y recién nacido afectados por síndromes de transfusión placentaria
P024,Feto y recién nacido afectados por prolapso del cordón umbilical
P025,Feto y recién nacido afectados por otra compresión del cordón umbilical
P026,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas
P027,Feto y recién nacido afectados por corioamnionitis
P028,Feto y recién nacido afectados por otras anormalidades de las membranas
P029,Feto y recién nacido afectados por anormalidad no especificada de las membranas
P030,Feto y recién nacido afectados por parto y extracción de nalgas
P031,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto"
P032,Feto y recién nacido afectados por parto con fórceps
P033,Feto y recién nacido afectados por parto con ventosa extractora
P034,Feto y recién nacido afectados por parto por cesárea
P035,Feto y recién nacido afectados por parto precipitado
P036,Feto y recién nacido afectados por contracciones uterinas anormales
P038,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto
P039,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto
P040,"Feto y recién nacido afectados por anestesia y analgesia materna en el embarazo, trabajo de parto y en el parto"
P041,Feto y recién nacido afectados por otras medicaciones maternas
P042,Feto y recién nacido afectados por tabaquismo de la madre
P043,Feto y recién nacido afectados por alcoholismo de la madre
P044,Feto y recién nacido afectados por drogadicción materna
P045,Feto y recién nacido afectados por el uso materno de sustancias químicas nutricionales
P046,Feto y recién nacido afectados por exposición materna a sustancias químicas ambientales
P048,Feto y recién nacido afectados por otras influencias nocivas de la madre
P049,"Feto y recién nacido afectados por influencias nocivas de la madre, no especificadas"
P050,Bajo peso para la edad gestacional
P051,Pequeño para la edad gestacional
P052,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional"
P059,"Retardo del crecimiento fetal, no especificado"
P070,Peso extremadamente bajo al nacer
P071,Otro peso bajo al nacer
P072,Inmaturidad extrema
P073,Otros recién nacidos pretérmino
P080,Recién nacido excepcionalmente grande
P081,Otros recién nacidos con sobrepeso para la edad gestacional
P082,Recién nacido postérmino sin sobrepeso para su edad gestacional
P100,Hemorragia subdural debida a traumatismo del nacimiento
P101,Hemorragia cerebral debida a traumatismo del nacimiento
P102,Hemorragia intraventricular debida a traumatismo del nacimiento
P103,Hemorragia subaracnoidea debida a traumatismo del nacimiento
P104,Desgarro tentorial debido a traumatismo del nacimiento
P108,Otras Hemorragias y laceraciones intracraneales debidas a traumatismo del nacimiento
P109,"Hemorragia y laceración intracraneales no especificadas, debidas a traumatismo del nacimiento"
P110,Edema cerebral debido a traumatismo del nacimiento
P111,"Otras lesiones especificadas del encéfalo, debidas a traumatismo del nacimiento"
P112,"Lesión no especificada del encéfalo, debida a traumatismo del nacimiento"
P113,Traumatismo del nacimiento en el nervio facial
P114,Traumatismo del nacimiento en otros nervios craneales
P115,Traumatismo del nacimiento en la columna vertebral y en la médula espinal
P119,"Traumatismo del nacimiento en el sistema nervioso central, no especificado"
P120,Cefalohematoma debido a traumatismo del nacimiento
P121,Caput succedaneum debido a traumatismo del nacimiento
P122,Hemorragia epicraneal subaponeurótica debida a traumatismo del nacimiento
P123,Equimosis del cuero cabelludo debida a traumatismo del nacimiento
P124,Traumatismo en el cuero cabelludo del recién nacido por monitoreo fetal
P128,Otros traumatismos del nacimiento en el cuero cabelludo
P129,"Traumatismo del nacimiento en el cuero cabelludo, no especificado"
P130,Fractura del cráneo debida a traumatismo del nacimiento
P131,Otros traumatismos del cráneo durante el nacimiento
P132,Traumatismo del fémur durante el nacimiento
P133,Traumatismo de otros huesos largos durante el nacimiento
P134,Fractura de la clavícula debida a traumatismo del nacimiento
P138,Traumatismo del nacimiento en otras partes del esqueleto
P139,Traumatismo no especificado del esqueleto durante el nacimiento
P140,Parálisis de Erb debida a traumatismo del nacimiento
P141,Parálisis de Klumpke debida a traumatismo del nacimiento
P142,Parálisis del nervio frénico debida a traumatismo del nacimiento
P143,Otro traumatismo del plexo braquial durante el nacimiento
P148,Traumatismo durante el nacimiento en otras partes del sistema nervioso periférico
P149,Traumatismo no especificado del sistema nervioso periférico durante el nacimiento
P150,Lesión del hígado durante el nacimiento
P151,Lesión del bazo durante el nacimiento
P152,Traumatismo del músculo esternocleidomastoideo durante el nacimiento
P153,Traumatismo ocular durante el nacimiento
P154,Traumatismo facial durante el nacimiento
P155,Traumatismo de los genitales externos durante el nacimiento
P156,Necrosis grasa subcutánea debida a traumatismo del nacimiento
P158,"Otros traumatismos especificados, durante el nacimiento"
P159,"Traumatismo no especificado, durante el nacimiento"
P200,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto
P201,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto
P209,"Hipoxia intrauterina, no especificada"
P210,"Asfixia del nacimiento, severa"
P211,"Asfixia del nacimiento, leve y moderada"
P219,"Asfixia del nacimiento, no especificada"
P220,Síndrome de dificultad respiratoria del recién nacido
P221,Taquipnea transitoria del recién nacido
P228,Otras dificultades respiratorias del recién nacido
P229,"Dificultad respiratoria del recién nacido, no especificada"
P230,Neumonía congénita debida a agente viral
P231,Neumonía congénita debida a Chlamydia
P232,Neumonía congénita debida a estafilococos
P233,Neumonía congénita debida a estreptococos del grupo B
P234,Neumonía congénita debida a Escherichia coli
P235,Neumonía congénita debida a Pseudomonas
P236,Neumonía congénita debida a otros agentes bacterianos
P238,Neumonía congénita debida a otros organismos
P239,"Neumonía congénita, organismo no especificado"
P240,Aspiración neonatal de meconio
P241,Aspiración neonatal de líquido amniótico y de moco
P242,Aspiración neonatal de sangre
P243,Aspiración neonatal de leche y alimento regurgitado
P248,Otros síndromes de aspiración neonatal
P249,"Síndrome de aspiración neonatal, sin otra especificación"
P250,Enfisema intersticial originado en el período perinatal
P251,Neumotórax originado en el período perinatal
P252,Neumomediastino originado en el período perinatal
P253,Neumopericardio originado en el período perinatal
P258,"Otras afecciones relacionadas con el enfisema intersticial, originadas en el período perinatal"
P260,Hemorragia traqueobronquial originada en el período perinatal
P261,Hemorragia pulmonar masiva originada en el período perinatal
P268,Otras Hemorragias pulmonares originadas en el período perinatal
P269,"Hemorragia pulmonar no especificada, originada en el período perinatal"
P270,Síndrome de Wilson-Mikity
P271,Displasia broncopulmonar originada en el período perinatal
P278,Otras enfermedades respiratorias crónicas originadas en el período perinatal
P279,Enfermedad respiratoria crónica no especificada originada en el período perinatal
P280,Atelectasia primaria del recién nacido
P281,Otras atelectasias del recién nacido y las no especificadas
P282,Ataque ciánotico del recién nacido
P283,Apnea primaria del sueño del recién nacido
P284,Otras apneas del recién nacido
P285,Insuficiencia respiratoria del recién nacido
P288,Otros problemas respiratorios especificados del recién nacido
P289,Afección respiratoria no especificada del recién nacido
P290,Insuficiencia cardíaca neonatal
P291,Disritmia cardíaca neonatal
P292,Hipertensión neonatal
P293,Persistencia de la circulación fetal
P294,Isquemia miocárdica transitoria del recién nacido
P298,Otros trastornos cardiovasculares originados en el período perinatal
P299,"Trastorno cardiovascular no especificado, originado en el período perinatal"
P350,Síndrome de rubéola congénita
P351,Infección citomegalovírica congénita
P352,Infecciones congénitas por virus del herpes simple
P353,Hepatitis viral congénita
P358,Otras enfermedades virales congénitas
P359,"Enfermedad viral congénita, sin otra especificación"
P360,Sepsis del recién nacido debida a estreptococo del grupo B
P361,Sepsis del recién nacido debida a otros estreptococos y a los no especificados
P362,Sepsis del recién nacido debida a Staphylococcus aureus
P363,Sepsis del recién nacido debida a otros estafilococos y a los no especificados
P364,Sepsis del recién nacido debida a Escherichia coli
P365,Sepsis del recién nacido debida a anaerobios
P368,Sepsis del recién nacido debida a otras bacterias
P369,"Sepsis bacteriana del recién nacido, no especificada"
P370,Tuberculosis congénita
P371,Toxoplasmosis congénita
P372,Listeriosis congénita (diseminada)
P373,Paludismo congénito por Plasmodium falciparum
P374,Otros paludismos congénitos
P375,Candidiasis neonatal
P378,Otras enfermedades neonatales infecciosas o parasitarias especificadas
P379,"Enfermedad infecciosa y parasitaria congénita, no especificada"
P38X,Onfalitis del recién nacido con o sin hemorragia leve
P390,Mastitis infecciosa neonatal
P391,Conjuntivitis y dacriocistitis neonatales
P392,"Infección intraamniótica del feto, no clasificada en otra parte"
P393,Infección neonatal de las vías urinarias
P394,Infección cutánea neonatal
P398,Otras infecciones especificadas propias del período perinatal
P399,"Infección propia del período perinatal, no especificada"
P500,Pérdida de sangre fetal por vasa previa
P501,Pérdida de sangre fetal por ruptura del cordón umbilical
P502,Pérdida de sangre fetal por la placenta
P503,Hemorragia fetal hacia el otro gemelo
P504,Hemorragia fetal hacia la circulación materna
P505,Pérdida de sangre fetal por el corte del cordón umbilical en el otro gemelo
P508,Otras pérdidas de sangre fetal
P509,"Pérdida de sangre fetal, no especificada"
P510,Hemorragia umbilical masiva del recién nacido
P518,Otras hemorragias umbilicales del recién nacido
P519,"Hemorragia umbilical del recién nacido, sin otra especificación"
P520,"Hemorragia intraventricular (no traumática) grado 1, del feto y del recién nacido"
P521,"Hemorragia intraventricular (no traumática) grado 2, del feto y del recién nacido"
P522,"Hemorragia intraventricular (no traumática) grado 3, del feto y del recién nacido"
P523,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación"
P524,Hemorragia intracerebral (no traumática) del feto y del recién nacido
P525,Hemorragia subaracnoidea (no traumática) del feto y del recién nacido
P526,Hemorragia cerebelosa y de la fosa posterior (no traumática) del feto y del recién nacido
P528,Otras hemorragias intracraneales (no traumáticas) del feto y del recién nacido
P529,"Hemorragia intracraneal (no traumática) del feto y del recién nacido, sin otra especificación"
P53X,Enfermedad hemorrágica del feto y del recién nacido
P540,Hematemesis neonatal
P541,Melena neonatal
P542,Hemorragia rectal neonatal
P543,Otras hemorragias gastrointestinales neonatales
P544,Hemorragia suprarrenal neonatal
P545,Hemorragia cutánea neonatal
P546,Hemorragia vaginal neonatal
P548,Otras hemorragias fetales y neonatales especificadas
P549,"Hemorragia neonatal, no especificada"
P550,Incompatibilidad Rh del feto y del recién nacido
P551,Incompatibilidad ABO del feto y del recién nacido
P558,Otras enfermedades hemolíticas del feto y del recién nacido
P559,"Enfermedad hemolítica del feto y del recién nacido, no especificada"
P560,Hidropesía fetal debida a incompatibilidad
P569,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas
P570,Kernicterus debido a incompatibilidad
P578,Kernicterus debido a otras causas especificadas
P579,"Kernicterus, no especificado"
P580,Ictericia neonatal debida a contusión
P581,Ictericia neonatal debida a hemorragia
P582,Ictericia neonatal debida a infección
P583,Ictericia neonatal debida a policitemia
P584,Ictericia neonatal debida a drogas o toxinas transmitidas por la madre o administradas al recién nacido
P585,Ictericia neonatal debida a deglución de sangre materna
P588,Ictericia neonatal debida a otras hemólisis excesivas especificadas
P589,"Ictericia neonatal debida a hemólisis excesiva, sin otra especificación"
P590,Ictericia neonatal asociada con el parto antes de término
P591,Síndrome de la bilis espesa
P592,Ictericia neonatal debida a otra lesión hepática especificada o no
P593,Ictericia neonatal por inhibidor de la leche materna
P598,Ictericia neonatal por otras causas especificadas
P599,"Ictericia neonatal, no especificada"
P60X,Coagulación intravascular diseminada en el feto y el recién nacido
P610,Trombocitopenia neonatal transitoria
P611,Policitemia neonatal
P612,Anemia de la prematuridad
P613,Anemia congénita debida a pérdida de sangre fetal
P614,"Otras anemias congénitas, no clasificadas en otra parte"
P615,Neutropenia neonatal transitoria
P616,Otros trastornos neonatales transitorios de la coagulación
P618,Otros trastornos hematológicos perinatales especificados
P619,"Trastorno hematológico perinatal, no especificado"
P700,Síndrome del recién nacido de madre con diabetes gestacional
P701,Síndrome del recién nacido de madre diabética
P702,Diabetes mellitus neonatal
P703,Hipoglicemia neonatal yatrogénica
P704,Otras hipoglicemias neonatales
P708,Otros trastornos transitorios del metabolismo de los carbohidratos en el feto y el recién nacido
P709,Trastorno transitorio no especificado del metabolismo de los carbohidratos en el feto y el recién nacido
P710,Hipocalcemia del recién nacido debida a la leche de vaca
P711,Otra hipocalcemia neonatal
P712,Hipomagnesemia neonatal
P713,Tetania neonatal sin mención de deficiencia de calcio o de magnesio
P714,Hipoparatiroidismo neonatal transitorio
P718,Otros trastornos neonatales transitorios del metabolismo del calcio y del magnesio
P719,Trastorno neonatal transitorio no especificado del metabolismo del calcio y del magnesio
P720,"Bocio neonatal, no clasificado en otra parte"
P721,Hipertiroidismo neonatal transitorio
P722,"Otros trastornos neonatales transitorios de la función tiroidea, no clasificados en otra parte"
P728,Otros trastornos endocrinos neonatales transitorios especificados
P729,"Trastorno endocrino neonatal transitorio, no especificado"
P740,Acidosis metabólica tardía del recién nacido
P741,Deshidratación del recién nacido
P742,Alteraciones del equilibrio del sodio en el recién nacido
P743,Alteraciones del equilibrio del potasio en el recién nacido
P744,Otras alteraciones electrolíticas transitorias del recién nacido
P745,Tirosinemia transitoria del recién nacido
P748,Otras alteraciones metabólicas transitorias del recién nacido
P749,"Trastorno metabólico transitorio del recién nacido, no especificado"
P75X,Íleo meconial
P760,Síndrome del tapón de meconio
P761,Íleo transitorio del recién nacido
P762,Obstrucción intestinal debida a la leche espesa
P768,Otras obstrucciones intestinales especificadas del recién nacido
P769,"Obstrucción intestinal del recién nacido, no especificada"
P77X,Enterocolitis necrotizante del feto y del recién nacido
P780,Perforación intestinal perinatal
P781,Otras peritonitis neonatales
P782,Hematemesis y melena neonatales debidas a la deglución de sangre materna
P783,Diarrea neonatal no infecciosa
P788,Otros trastornos perinatales específicos del sistema digestivo
P789,"Trastorno perinatal del sistema digestivo, no especificado"
P800,Síndrome del enfriamiento
P808,Otras hipotermias del recién nacido
P809,"Hipotermia del recién nacido, no especificada"
P810,Hipertermia del recién nacido inducida por las condiciones ambientales
P818,Otras alteraciones especificadas de la regulación de la temperatura del recién nacido
P819,Alteración no especificada de la regulación de la temperatura en el recién nacido
P830,Esclerema neonatal
P831,Eritema tóxico neonatal
P832,Hidropesía fetal no debida a enfermedad hemolítica
P833,"Otros edemas y los no especificados, propios del feto y del recién nacido"
P834,Ingurgitación mamaria del recién nacido
P835,Hidrocele congénito
P836,Pólipo umbilical del recién nacido
P838,"Otras afecciones especificadas de la piel, propias del feto y del recién nacido"
P839,"Afección no especificada de la piel, propia del feto y del recién nacido"
P90X,Convulsiones del recién nacido
P910,Isquemia cerebral neonatal
P911,Quistes periventriculares adquiridos del recién nacido
P912,Leucomalacia cerebral neonatal
P913,Irritabilidad cerebral neonatal
P914,Depresión cerebral neonatal
P915,Coma neonatal
P916,Encefalopatía hipóxico-isquémica del recién nacido
P918,Otras alteraciones cerebrales especificadas del recién nacido
P919,Alteración cerebral no especificada del recién nacido
P920,Vómitos del recién nacido
P921,Regurgitación y rumiación del recién nacido
P922,Lentitud en la ingestión de alimentos del recién nacido
P923,Hipoalimentación del recién nacido
P924,Hiperalimentación del recién nacido
P925,Dificultad neonatal en la lactancia materna
P928,Otros problemas de alimentación del recién nacido
P929,Problema no especificado de la alimentación del recién nacido
P93X,Reacciones e intoxicaciones debidas a drogas administradas al feto y al recién nacido
P940,Miastenia grave neonatal transitoria
P941,Hipertonía congénita
P942,Hipotonía congénita
P948,Otros trastornos del tono muscular en el recién nacido
P949,Trastorno no especificado del tono muscular en el recién nacido
P95X,Muerte fetal de causa no especificada
P960,Insuficiencia renal congénita
P961,Síntomas neonatales de abstinencia por drogadicción materna
P962,Síntomas de abstinencia por el uso terapéutico de drogas en el recién nacido
P963,Amplitud de las suturas craneales del recién nacido
P964,"Terminación del embarazo, feto y recién nacido"
P965,"Complicaciones de procedimientos intrauterinos, no clasificados en otra parte"
P968,Otras afecciones especificadas originadas en el período perinatal
P969,Afección no especificada originada en el período perinatal
Q000,Anencefalia
Q001,Craneorraquisquisis
Q002,Iniencefalia
Q010,Encefalocele frontal
Q011,Encefalocele nasofrontal
Q012,Encefalocele occipital
Q018,Encefalocele de otros sitios
Q019,"Encefalocele, no especificado"
Q02X,Microcefalia
Q030,Malformaciones del acueducto de Silvio
Q031,Atresia de los agujeros de Magendie y de Luschka
Q038,Otros hidrocéfalos congénitos
Q039,"Hidrocéfalo congénito, no especificado"
Q040,Malformaciones congénitas del cuerpo calloso
Q041,Arrinencefalia
Q042,Holoprosencefalia
Q043,Otras anomalías hipoplásicas del encéfalo
Q044,Displasia opticoseptal
Q045,Megalencefalia
Q046,Quistes cerebrales congénitos
Q048,"Otras malformaciones congénitas del encéfalo, especificadas"
Q049,"Malformación congénita del encéfalo, no especificada"
Q050,Espina bífida cervical con hidrocéfalo
Q051,Espina bífida torácica con hidrocéfalo
Q052,Espina bífida lumbar con hidrocéfalo
Q053,Espina bífida sacra con hidrocéfalo
Q054,"Espina bífida con hidrocéfalo, sin otra especificación"
Q055,Espina bífida cervical sin hidrocéfalo
Q056,Espina bífida torácica sin hidrocéfalo
Q057,Espina bífida lumbar sin hidrocéfalo
Q058,Espina bífida sacra sin hidrocéfalo
Q059,"Espina bífida, no especificada"
Q060,Amielia
Q061,Hipoplasia y displasia de la médula espinal
Q062,Diastematomielia
Q063,Otras anomalías congénitas de la cola de caballo
Q064,Hidromielia
Q068,Otras malformaciones congénitas especificadas de la médula espinal
Q069,"Malformación congénita de la médula espinal, no especificada"
Q070,Síndrome de Arnold-Chiari
Q078,"Otras malformaciones congénitas del sistema nervioso, especificadas"
Q079,"Otras malformaciones congénitas del sistema nervioso, no especificada"
Q100,Blefaroptosis congénita
Q101,Ectropión congénito
Q102,Entropión congénito
Q103,Otras malformaciones congénitas de los párpados
Q104,Ausencia y agenesia del aparato lagrimal
Q105,Estenosis y estrechez congénitas del conducto lagrimal
Q106,Otras malformaciones congénitas del aparato lagrimal
Q107,Malformación congénita de la órbita
Q110,Globo ocular quístico
Q111,Otras anoftalmías
Q112,Microftalmía
Q113,Macroftalmía
Q120,Catarata congénita
Q121,Desplazamiento congénito del cristalino
Q122,Coloboma del cristalino
Q123,Afaquia congénita
Q124,Esferofaquia
Q128,Otras malformaciones congénitas del cristalino
Q129,"Malformación congénita del cristalino, no especificada"
Q130,Coloboma del iris
Q131,Ausencia del iris
Q132,Otras malformaciones congénitas del iris
Q133,Opacidad corneal congénita
Q134,Otras malformaciones congénitas de la córnea
Q135,Esclerótica azul
Q138,Otras malformaciones congénitas del segmento anterior del ojo
Q139,"Malformación congénita del segmento anterior del ojo, no especificada"
Q140,Malformación congénita del humor vítreo
Q141,Malformación congénita de la retina
Q142,Malformación congénita del disco óptico
Q143,Malformación congénita de la coroides
Q148,Otras Malformaciones congénitas del segmento posterior del ojo
Q149,"Malformación congénita del segmento posterior del ojo, no especificada"
Q150,Glaucoma congénito
Q158,"Otras malformaciones congénitas del ojo, especificadas"
Q159,"Malformaciones congénitas del ojo, no especificadas"
Q160,Ausencia congénita del pabellón (de la oreja)
Q161,"Ausencia congénita, atresia o estrechez del conducto auditivo (externo)"
Q162,Ausencia de la trompa de Eustaquio
Q163,Malformación congénita de los huesecillos del oído
Q164,Otras malformaciones congénitas del oído medio
Q165,Malformación congénita del oído interno
Q169,"Malformación congénita del oído que causa alteración de la audición, sin otra especificación"
Q170,Oreja supernumeraria
Q171,Macrotia
Q172,Microtia
Q173,Otras deformidades del pabellón auricular
Q174,Anomalía de la posición de la oreja
Q175,Oreja prominente
Q178,"Otras malformaciones congénitas del oído, especificadas"
Q179,"Malformación congénita del oído, no especificada"
Q180,"Seno, fístula o quiste de la hendidura branquial"
Q181,Seno y quiste preauricular
Q182,Otras malformaciones de las hendiduras branquiales
Q183,Pterigión del cuello
Q184,Macrostomía
Q185,Microstomía
Q186,Macroqueilia
Q187,Microqueilia
Q188,Otras malformaciones congénitas especificadas de cara y cuello
Q189,"Malformación congénita de la cara y del cuello, no especificada"
Q200,Tronco arterioso común
Q201,Transposición de los grandes vasos en ventrículo derecho
Q202,Transposición de los grandes vasos en ventrículo izquierdo
Q203,Discordancia de la conexión ventriculoarterial
Q204,Ventrículo con doble entrada
Q205,Discordancia de la conexión auriculoventricular
